metric,label,provider,provider_label,estimate,ci_low,ci_high,unit,digits,formatted
correct,Correct /100,brave,Brave,25,17.0,34.0,queries,0,"25 [17, 34]"
correct,Correct /100,tavily,Tavily,25,17.0,34.0,queries,0,"25 [17, 34]"
correct,Correct /100,firecrawl,Firecrawl,26,18.0,35.0,queries,0,"26 [18, 35]"
token_f1,Token F1,brave,Brave,0.26952380952380955,0.19066666666666662,0.3541904761904761,macro F1,3,"0.270 [0.191, 0.354]"
token_f1,Token F1,tavily,Tavily,0.26060714285714287,0.18249791666666665,0.34302738095238083,macro F1,3,"0.261 [0.182, 0.343]"
token_f1,Token F1,firecrawl,Firecrawl,0.2822976190476191,0.20066666666666666,0.3669642857142857,macro F1,3,"0.282 [0.201, 0.367]"
pre_fetch_support,Pre-fetch support /100,brave,Brave,30,21.0,39.0,queries,0,"30 [21, 39]"
pre_fetch_support,Pre-fetch support /100,tavily,Tavily,16,9.0,23.0,queries,0,"16 [9, 23]"
pre_fetch_support,Pre-fetch support /100,firecrawl,Firecrawl,16,9.0,23.0,queries,0,"16 [9, 23]"
rank1_pre_fetch,Rank-1 pre-fetch,brave,Brave,12.871287128712872,7.079422544024315,19.444444444444446,percent,1,"12.9 [7.1, 19.4]"
rank1_pre_fetch,Rank-1 pre-fetch,tavily,Tavily,50.0,31.247438524590166,78.94736842105263,percent,1,"50.0 [31.2, 78.9]"
rank1_pre_fetch,Rank-1 pre-fetch,firecrawl,Firecrawl,13.333333333333334,4.166666666666666,26.31578947368421,percent,1,"13.3 [4.2, 26.3]"
surface_cg,Surface c:g,brave,Brave,0.9175257731958762,0.49205698672911785,1.730792682926829,ratio,2,"0.92 [0.49, 1.73]"
surface_cg,Surface c:g,tavily,Tavily,1.8709677419354838,0.8285602678571429,4.466842105263155,ratio,2,"1.87 [0.83, 4.47]"
surface_cg,Surface c:g,firecrawl,Firecrawl,2.5925925925925926,1.1063549832026878,8.0,ratio,2,"2.59 [1.11, 8.00]"
fetched_queries,Fetched queries /100,brave,Brave,65,56.0,74.0,queries,0,"65 [56, 74]"
fetched_queries,Fetched queries /100,tavily,Tavily,76,67.0,84.0,queries,0,"76 [67, 84]"
fetched_queries,Fetched queries /100,firecrawl,Firecrawl,81,73.0,89.0,queries,0,"81 [73, 89]"
avg_fetch_calls,Avg. fetch calls,brave,Brave,1.02,0.81,1.25,calls/query,2,"1.02 [0.81, 1.25]"
avg_fetch_calls,Avg. fetch calls,tavily,Tavily,1.3,1.06,1.55,calls/query,2,"1.30 [1.06, 1.55]"
avg_fetch_calls,Avg. fetch calls,firecrawl,Firecrawl,1.28,1.08,1.5,calls/query,2,"1.28 [1.08, 1.50]"
tokens_query,Tokens/query,brave,Brave,59626.81,47705.51175,72907.66975,tokens,0,"59,627 [47,706, 72,908]"
tokens_query,Tokens/query,tavily,Tavily,54155.93,44304.3845,64990.530249999996,tokens,0,"54,156 [44,304, 64,991]"
tokens_query,Tokens/query,firecrawl,Firecrawl,57978.79,44634.695,72878.497,tokens,0,"57,979 [44,635, 72,878]"
